Offspring.Acc,Mother.Acc,Father.Acc,Mother.ID,Father.ID,Mass,RMR,MMR,AAS,CTM,RMR.MS,MMR.MS,AAS.MS,Parent.group,Tank,Tank.Box,Family
1,2,2,2,1,2.88,0.98770656,0.98770656,0.582439128,28.1,342.9537,342.9537,202.2358,4,2,2A,2
1,2,2,1,1,1.83,0.294425568,0.88830204,0.593876472,28.3,160.8883,485.4109,324.5226,4,2,2A,1
1,2,2,1,1,2.09,,1.1541249,0.799922862,28.7,,552.2129,382.7382,4,2,2A,1
1,2,2,1,1,2.31,0.23998164,0.8318382,0.59185656,28.4,103.8882,360.1031,256.2149,4,2,2A,1
1,2,2,2,1,1.6,0.25928808,0.8285076,0.58099188,28.6,162.0551,517.8173,363.12,4,2,2A,2
1,2,2,2,1,2.15,0.7724808,0.8948394,0.39198978,28.5,359.2934,416.2044,182.3209,4,2,2A,2
1,2,2,2,1,2.88,1.16209392,1.38630624,0.84775704,28.7,403.5048,481.3563,294.3601,4,2,2A,2
1,2,2,2,1,2.02,0.85446504,0.99761376,0.554959548,28.5,423.0025,493.8682,285.4719,4,2,2A,2
1,2,1,1,4,3.37,1.1129145,1.42380078,0.808158372,28.7,330.2417,422.4928,239.8096,3,3,3D,13
1,2,1,2,4,3.25,0.32572995,1.2265095,1.0159794,28.7,100.2246,377.3875,312.609,3,3,3D,14
1,2,1,2,4,2.33,0.77870916,1.12095846,0.670072608,28.7,334.2099,481.0981,287.5849,3,3,3D,14
1,2,1,1,4,2.32,0.86710224,1.17993624,0.697214976,,373.751,508.5932,300.5237,3,3,3D,13
1,2,1,2,4,2.96,0.702071712,1.43006472,0.925258464,29,237.1864,483.13,312.5874,3,3,3D,14
1,2,1,1,4,2.03,0.9038295,0.9038295,,,445.2362,445.2362,,3,3,3D,13
1,2,1,2,4,3.47,0.608573628,1.39492134,1.179302814,28.8,175.3815,401.9946,339.85669,3,3,3D,14
1,2,1,2,4,2.72,0.671757408,0.77990184,0.468894888,28.7,246.9696,286.7286,172.3878,3,3,3D,14
1,2,1,2,4,2.34,0.77496588,1.08701292,,28.7,331.182,464.5354,,3,3,3D,14
1,2,1,1,4,3.04,1.53376896,1.53376896,,28.7,504.5293,504.5293,,3,3,3D,13
1,2,1,1,4,1.81,,0.90322908,,28.4,,499.0216,,3,3,3D,13
1,2,1,2,4,3.21,1.1034174,1.51920846,0.87031134,28.4,343.7437,473.2737,271.1251,3,3,3D,14
1,2,1,2,4,2.33,0.47031678,0.81992628,0.477014562,28.6,201.8527,351.8997,204.7273,3,3,3D,14
1,2,1,1,4,3.52,1.13923944,1.4614044,,28.3,323.6476,415.1717,,3,3,3D,13
1,2,1,1,4,2.49,0.80636082,0.80636082,,28.5,323.8397,323.8397,,3,3,3D,13
1,2,1,2,4,3.1,0.64377828,1.309206,0.84535212,28.7,207.6704,422.3245,272.6942,3,3,3D,14
1,2,1,1,4,2.32,0.80306328,1.0415532,0.729308064,28.1,346.148,448.9453,314.3569,3,3,3D,13
1,2,1,1,4,2.63,1.05874524,1.23422382,,28,402.5647,469.2866,,3,3,3D,13
